Frequency,Word,Translation
535,groß,grand
536,kugel,ball
537,noch,yet
538,welle,wave
539,fallen,drop
540,herz,heart
541,uhr,am
542,vorhanden,present
543,schwer,heavy
544,tanz,dance
545,motor,engine
546,position,position
547,arm,arm
548,breit,wide
549,segel,sail
550,material,material
551,fraktion,fraction
552,wald,forest
553,sitzen,sit
554,rennen,race
555,fenster,window
556,speicher,store
557,sommer,summer
558,zug,train
559,schlaf,sleep
560,beweisen,prove
561,einsam,lone
562,bein,leg
563,übung,exercise
564,wand,wall
565,fang,catch
566,berg,mount
567,wünschen,wish
568,himmel,sky
569,board,board
570,freude,joy
571,winter,winter
572,sa,sat
573,geschrieben,written
574,wilden,wild
575,instrument,instrument
576,gehalten,kept
577,glas,glass
578,gras,grass
579,kuh,cow
580,arbeit,job
581,rand,edge
582,zeichen,sign
583,besuch,visit
584,vergangenheit,past
585,weich,soft
586,spaß,fun
587,hell,bright
588,gases,gas
589,wetter,weather
590,monat,month
591,million,million
592,tragen,bear
593,finish,finish
594,glücklich,happy
595,hoffen,hope
596,blume,flower
597,kleiden,clothe
598,seltsam,strange
599,vorbei,gone
600,handel,trade
601,melodie,melody
602,reise,trip
603,büro,office
604,empfangen,receive
605,reihe,row
606,mund,mouth
607,genau,exact
608,zeichen,symbol
609,sterben,die
610,am wenigsten,least
611,ärger,trouble
612,schrei,shout
613,außer,except
614,schrieb,wrote
615,samen,seed
616,ton,tone
617,beitreten,join
618,vorschlagen,suggest
619,sauber,clean
620,pause,break
621,dame,lady
622,hof,yard
623,steigen,rise
624,schlecht,bad
625,schlag,blow
626,öl,oil
627,blut,blood
628,berühren,touch
629,wuchs,grew
630,cent,cent
631,mischen,mix
632,mannschaft,team
633,draht,wire
634,kosten,cost
635,verloren,lost
636,braun,brown
637,tragen,wear
638,garten,garden
639,gleich,equal
640,gesendet,sent
641,wählen,choose
642,fiel,fell
643,passen,fit
644,fließen,flow
645,messe,fair
646,bank,bank
647,sammeln,collect
648,sparen,save
649,kontrolle,control
650,dezimal,decimal
651,ohr,ear
652,sonst,else
653,ganz,quite
654,pleite,broke
655,fall,case
656,mitte,middle
657,töten,kill
658,sohn,son
659,see,lake
660,moment,moment
661,maßstab,scale
662,laut,loud
663,frühling,spring
664,beobachten,observe
665,kind,child
666,gerade,straight
667,konsonant,consonant
668,nation,nation
669,wörterbuch,dictionary
670,milch,milk
671,geschwindigkeit,speed
672,verfahren,method
673,orgel,organ
674,zahlen,pay
675,alter,age
676,abschnitt,section
677,kleid,dress
678,wolke,cloud
679,überraschung,surprise
680,ruhig,quiet
681,stein,stone
682,winzig,tiny
683,aufstieg,climb
684,kühlen,cool
685,entwurf,design
686,arm,poor
687,menge,lot
688,versuch,experiment
689,boden,bottom
690,schlüssel,key
691,eisen,iron
692,einzel,single
693,stick,stick
694,wohnung,flat
695,zwanzig,twenty
696,haut,skin
697,lächeln,smile
698,falte,crease
699,loch,hole
700,springen,jump
701,kind,baby
702,acht,eight
703,dorf,village
704,treffen,meet
705,wurzel,root
706,kaufen,buy
707,erhöhen,raise
708,lösen,solve
709,metall,metal
710,ob,whether
711,drücken,push
712,sieben,seven
713,absatz,paragraph
714,dritte,third
715,wird,shall
716,hand,held
717,haar,hair
718,beschreiben,describe
719,koch,cook
720,boden,floor
721,entweder,either
722,ergebnis,result
723,brennen,burn
724,hügel,hill
725,sicher,safe
726,katze,cat
727,jahrhundert,century
728,betrachten,consider
729,typ,type
730,gesetz,law
731,bit,bit
732,küste,coast
733,kopie,copy
734,ausdruck,phrase
735,still,silent
736,hoch,tall
737,sand,sand
738,boden,soil
739,rolle,roll
740,temperatur,temperature
741,finger,finger
742,industrie,industry
743,wert,value
744,kampf,fight
745,lüge,lie
746,schlagen,beat
747,begeistern,excite
748,natürlich,natural
749,blick,view
750,sinn,sense
751,hauptstadt,capital
752,wird nicht,won’t
753,stuhl,chair
754,achtung,danger
755,obst,fruit
756,reich,rich
757,dick,thick
758,soldat,soldier
759,prozess,process
760,betreiben,operate
761,praxis,practice
762,trennen,separate
763,schwierig,difficult
764,arzt,doctor
765,bitte,please
766,schützen,protect
767,mittag,noon
768,ernte,crop
769,modernen,modern
770,elementes,element
771,treffen,hit
772,schüler,student
773,ecke,corner
774,partei,party
775,versorgung,supply
776,deren,whose
777,lokalisieren,locate
778,rings,ring
779,charakter,character
780,insekt,insect
781,gefangen,caught
782,zeit,period
783,zeigen,indicate
784,funk,radio
785,speiche,spoke
786,atom,atom
787,mensch,human
788,geschichte,history
789,wirkung,effect
790,elektrisch,electric
791,erwarten,expect
792,knochen,bone
793,schiene,rail
794,vorstellen,imagine
795,bieten,provide
796,zustimmen,agree
797,so,thus
798,sanft,gentle
799,frau,woman
800,kapitän,captain
801,erraten,guess
802,erforderlich,necessary
803,scharf,sharp
804,flügel,wing
805,schaffen,create
806,nachbar,neighbor
807,wasch,wash
808,fledermaus,bat
809,eher,rather
810,menge,crowd
811,mais,corn
812,vergleichen,compare
813,gedicht,poem
814,schnur,string
815,glocke,bell
816,abhängen,depend
817,fleisch,meat
818,einreiben,rub
819,rohr,tube
820,berühmt,famous
821,dollar,dollar
822,strom,stream
823,angst,fear
824,blick,sight
825,dünn,thin
826,dreieck,triangle
827,erde,planet
828,eile,hurry
829,chef,chief
830,kolonie,colony
831,uhr,clock
832,mine,mine
833,krawatte,tie
834,eingeben,enter
835,dur,major
836,frisch,fresh
837,suche,search
838,senden,send
839,gelb,yellow
840,pistole,gun
841,erlauben,allow
842,druck,print
843,tot,dead
844,stelle,spot
845,wüste,desert
846,anzug,suit
847,strom,current
848,aufzug,lift
849,stiegen,rose
850,ankommen,arrive
851,stamm,master
852,spur,track
853,elternteil,parent
854,ufer,shore
855,teilung,division
856,blatt,sheet
857,substanz,substance
858,begünstigen,favor
859,verbinden,connect
860,nach,post
861,verbringen,spend
862,akkord,chord
863,fett,fat
864,froh,glad
865,original,original
866,aktie,share
867,station,station
868,papa,dad
869,brot,bread
870,aufladen,charge
871,richtig,proper
872,leiste,bar
873,angebot,offer
874,segment,segment
875,sklave,slave
876,ente,duck
877,augenblick,instant
878,markt,market
879,grad,degree
880,besiedeln,populate
881,küken,chick
882,liebe,dear
883,feind,enemy
884,antworten,reply
885,getränk,drink
886,auftreten,occur
887,unterstützung,support
888,rede,speech
889,natur,nature
890,angebot,range
891,dampf,steam
892,bewegung,motion
893,weg,path
894,flüssigkeit,liquid
895,protokollieren,log
896,gemeint,meant
897,quotient,quotient
898,gebiss,teeth
899,schale,shell
900,hals,neck
901,sauerstoff,oxygen
902,zucker,sugar
903,tod,death
904,ziemlich,pretty
905,geschicklichkeit,skill
906,frauen,women
907,saison,season
908,lösung,solution
909,magnet,magnet
910,silber,silver
911,danken,thank
912,zweig,branch
913,spiel,match
914,suffix,suffix
915,insbesondere,especially
916,feige,fig
917,ängstlich,afraid
918,riesig,huge
919,schwester,sister
920,stahl,steel
921,diskutieren,discuss
922,vorwärts,forward
923,ähnlich,similar
924,führen,guide
925,erfahrung,experience
926,partitur,score
927,apfel,apple
928,gekauft,bought
929,geführt,led
930,tonhöhe,pitch
931,mantel,coat
932,masse,mass
933,karte,card
934,band,band
935,seil,rope
936,rutsch,slip
937,gewinnen,win
938,träumen,dream
939,abend,evening
940,zustand,condition
941,futtermittel,feed
942,werkzeug,tool
943,gesamt,total
944,basis,basic
945,geruch,smell
946,tal,valley
947,noch,nor
948,doppelt,double
949,sitz,seat
950,fortsetzen,continue
951,block,block
952,tabelle,chart
953,hut,hat
954,verkaufen,sell
955,erfolg,success
956,firma,company
957,subtrahieren,subtract
958,veranstaltung,event
959,besondere,particular
960,viel,deal
961,schwimmen,swim
962,begriff,term
963,gegenteil,opposite
964,frau,wife
965,schuh,shoe
966,schulter,shoulder
967,verbreitung,spread
968,arrangieren,arrange
969,lager,camp
970,erfinden,invent
971,baumwolle,cotton
972,geboren,born
973,bestimmen,determine
974,quart,quart
975,neun,nine
976,lastwagen,truck
977,lärm,noise
978,ebene,level
979,chance,chance
980,sammeln,gather
981,geschäft,shop
982,stretch,stretch
983,werfen,throw
984,glanz,shine
985,immobilien,property
986,spalte,column
987,molekül,molecule
988,wählen,select
989,falsch,wrong
990,grau,gray
991,wiederholung,repeat
992,erfordern,require
993,breit,broad
994,vorbereiten,prepare
995,salz,salt
996,nase,nose
997,mehreren,plural
998,zorn,anger
999,anspruch,claim
1000,kontinent,continent
1001,kontinente,continent
